Category,Subcategory,Product Name,Price (TL),Description,Content/Details,Photo URL,Is Active,ID
Soft İçecekler,SICAK İÇECEKLER,ÇAY,50,,,https://cdn.moomenu.co/tenants/radyo/branchs/gastro/menu/9da3609f-f447-48a3-9c89-1436f2384808.jpeg,True,96e030a5-afad-4c3d-9986-b1f0ab0aa298
Soft İçecekler,SOFT İÇECEKLER,SADE SODA,120,,,https://cdn.moomenu.co/tenants/radyo/branchs/gastro/menu/36ecca08-89f1-40ef-abf6-cf6c24e0fd8f.jpg,True,a0c18e7e-81d0-4cd4-b21d-866625d1f80e
Soft İçecekler,SOFT İÇECEKLER,MEYVELİ SODA,130,"(KARPUZ-ÇİLEK, LİMON, ELMA)",,https://cdn.moomenu.co/tenants/radyo/branchs/gastro/menu/2a612a83-9e91-4550-9150-031aae4f2f5d.jpg,True,846eb9c9-01ba-414b-8f17-abf09c38734c
Soft İçecekler,SOFT İÇECEKLER,COCA COLA ZERO,140,,,https://cdn.moomenu.co/tenants/radyo/branchs/gastro/menu/a603aa22-5fc7-4e78-a4e2-acc14efbdda7.jpg,True,b09827d2-a8c0-469d-b6c3-f17c2a99b6a4
Soft İçecekler,SOFT İÇECEKLER,FANTA,140,,,https://cdn.moomenu.co/tenants/radyo/branchs/gastro/menu/fecd7eec-6b0b-4278-919d-c67893f521c2.jpg,True,441b4ab8-1587-459d-9965-6b45d0cca50c
Soft İçecekler,SOFT İÇECEKLER,SPRITE,140,,,https://cdn.moomenu.co/tenants/radyo/branchs/gastro/menu/79cf539d-15ec-4b8c-955b-a8d28b67cb57.jpg,True,a6fbe243-50ea-46ad-a4ed-ca2afd7531f6
Soft İçecekler,SOFT İÇECEKLER,FUSE TEA,140,"(ŞEFTALİ, LİMON, MANGO)",,https://cdn.moomenu.co/tenants/radyo/branchs/gastro/menu/67cf1522-4e31-45ed-87c0-4ba20c6322ee.jpg,True,8c69d679-4c6f-42bb-92a5-33c0661506ce
Soft İçecekler,SOFT İÇECEKLER,CAPPY,140,"(KARIŞIK, VİŞNE, ŞEFTALİ)",,https://cdn.moomenu.co/tenants/radyo/branchs/gastro/menu/3638e266-dfc6-4d69-b6f7-73ed26f91f91.jpg,True,822bfa36-aca5-4c84-a0a8-bce14b06923b
Soft İçecekler,SOFT İÇECEKLER,TONİK 250 ML,150,,,https://cdn.moomenu.co/tenants/radyo/branchs/gastro/menu/3f5a7bb6-42e2-45d4-9109-15eb29d3ef3b.jpg,True,d0819f54-60dc-4e90-a98e-dc2fbd67ff2d
Soft İçecekler,SOFT İÇECEKLER,BURN,150,,,https://cdn.moomenu.co/tenants/radyo/branchs/gastro/menu/bec7dcd9-e7d6-47f4-b573-8c217960828d.jpg,True,2c7dc3c1-d4a7-40c4-b928-adff87a33ab8
Soft İçecekler,SOFT İÇECEKLER,CHURCHILL,130,,,https://cdn.moomenu.co/tenants/radyo/branchs/gastro/menu/0ff0ea78-ee79-417e-8cc0-ab5ab9bba185.jpg,True,94fc7f87-b2c3-4836-a1c8-687d7d88c1f3
Soft İçecekler,SOFT İÇECEKLER,EV YAPIMI PORTAKAL SUYU,200,,,https://cdn.moomenu.co/tenants/radyo/branchs/gastro/menu/e9bd6604-0150-4dbf-b74a-59473b91a662.jpg,True,db038b2c-f210-413e-96b5-366da7a8342b
Soft İçecekler,SOFT İÇECEKLER,RED BULL ENERGY DRINK,170,,,https://cdn.moomenu.co/tenants/radyo/branchs/gastro/menu/3ceec3ef-b0ec-41c2-be4f-cf338b17f9bf.jpg,True,6976dc0f-3cf1-410d-8889-264bf84c20a6
Soft İçecekler,SOFT İÇECEKLER,COCA COLA CLASSİC,140,,,https://cdn.moomenu.co/tenants/radyo/branchs/gastro/menu/b5973371-6194-47e5-9086-acfa375cc716.jpg,True,2d382b3c-0c6d-4ee4-b226-43d41d47bb16
Soft İçecekler,SOFT İÇECEKLER,RED BULL SUGAR FREE,180,,,https://cdn.moomenu.co/tenants/radyo/branchs/gastro/menu/866c64c5-7971-402f-a581-72f4a0d8ead4.jpg,True,b5868352-69e5-4ca6-a0ea-11ac23901efb
Soft İçecekler,SOFT İÇECEKLER,SU,60,,,https://cdn.moomenu.co/tenants/radyo/branchs/gastro/menu/1d622d8e-0424-4bf8-a191-60faa8ccd2dc.jpg,True,9ecdaf5d-e7a2-45de-8447-b307f40bf082
Soft İçecekler,SICAK KAHVELER,CAPPUCCINO,160,,,https://cdn.moomenu.co/tenants/radyo/branchs/gastro/menu/9ec69ca7-d8ea-4bd3-b268-a92e009dfd60.jpg,True,412081be-fbd4-4486-a7db-0775b823433c
Soft İçecekler,SICAK KAHVELER,CARAMEL LATTE,140,,,https://cdn.moomenu.co/tenants/radyo/branchs/gastro/menu/441b07ce-c3b1-418b-947f-1d1ece77a898.jpg,True,fd65e0f8-9f0f-46c5-bb0d-9860b7bc1752
Soft İçecekler,SICAK KAHVELER,LATTE,130,,,https://cdn.moomenu.co/tenants/radyo/branchs/gastro/menu/7e6bd40c-778a-4336-9b84-36e3436f71e1.jpg,True,3b64b823-30f7-4630-a276-dc0f956a788a
Soft İçecekler,SICAK KAHVELER,MOCHA,130,,,https://cdn.moomenu.co/tenants/radyo/branchs/gastro/menu/b214eac6-5016-4dba-8519-020595213448.jpg,True,73c5d11e-5f7e-4b17-a429-144a3c63db46
Soft İçecekler,SICAK KAHVELER,TÜRK KAHVESİ DOUBLE,150,.,,https://cdn.moomenu.co/tenants/radyo/branchs/gastro/menu/c83e075c-90d6-420b-87cf-5942f8ccb129.jpg,True,8965e04f-3ec2-42bb-b3d3-7bb6a9fa5db4
Soft İçecekler,SICAK KAHVELER,AMERICANO,130,,,https://cdn.moomenu.co/tenants/radyo/branchs/gastro/menu/d802e845-b534-4a98-86bc-e04bbf2a6f02.jpg,True,44ec59ee-49e8-466c-9a7f-4516d6629aef
Soft İçecekler,SICAK KAHVELER,ESPRESSO DOPIO,130,,,https://cdn.moomenu.co/tenants/radyo/branchs/gastro/menu/78867502-592c-4612-b341-855e7d515c0b.jpg,True,9c9ef1d1-fc26-4548-9574-4f55105909b5
Soft İçecekler,SICAK KAHVELER,TÜRK KAHVESİ,130,.,.,https://cdn.moomenu.co/tenants/radyo/branchs/gastro/menu/ec9e0b4d-b8c8-4ccf-b0b4-a1610d2e8c92.jpg,True,58da6fa7-f6f5-4af3-9cac-42514c6fcf0e
Soft İçecekler,SICAK KAHVELER,ESPRESSO,100,,,https://cdn.moomenu.co/tenants/radyo/branchs/gastro/menu/7c7923dc-56e3-4863-8816-06dd788b38fc.jpg,True,0c177fe5-d0b5-4114-97fa-a9e368178054
Soft İçecekler,SICAK KAHVELER,WHITE MOCHA,140,,,https://cdn.moomenu.co/tenants/radyo/branchs/gastro/menu/1cebaa38-2fbb-4459-b95a-e7c883bf4809.jpg,True,d1cc78d5-bb82-4902-92a5-1539f62cac50
